x_disp y_disp pe
0 0 -12993.3026995232
0 2.5925 -12299.4212255942
0 5.185 -12993.3026995232
0 7.7775 -12299.4212255942
0 10.37 -12993.3026995232
0 12.9625 -12299.4212255943
0 15.555 -12993.3026995232
0 18.1475 -12299.4212255943
0 20.74 -12993.3026995232
0 23.3325 -12299.4212255943
0 25.925 -12993.3026995232
0 28.5175 -12299.4212255943
0 31.11 -12993.3026995232
0 33.7025 -12299.4212255943
0 36.295 -12993.3026995232
0 38.8875 -12299.4212255943
0 41.48 -12993.3026995232
0 44.0725 -12299.4212255943
0 46.665 -12993.3026995232
0 49.2575 -12299.4212255943
1.5945 0 -12599.8228078529
1.5945 2.5925 -12007.0727300498
1.5945 5.185 -12599.8228078529
1.5945 7.7775 -12007.0727300498
1.5945 10.37 -12599.8228078529
1.5945 12.9625 -12007.0727300498
1.5945 15.555 -12599.8228078529
1.5945 18.1475 -12007.0727300498
1.5945 20.74 -12599.8228078529
1.5945 23.3325 -12007.0727300498
1.5945 25.925 -12599.8228078529
1.5945 28.5175 -12007.0727300498
1.5945 31.11 -12599.8228078529
1.5945 33.7025 -12007.0727300498
1.5945 36.295 -12599.8228078529
1.5945 38.8875 -12007.0727300498
1.5945 41.48 -12599.8228078529
1.5945 44.0725 -12007.0727300498
1.5945 46.665 -12599.8228078529
1.5945 49.2575 -12007.0727300498
3.189 0 -12993.3026995232
3.189 2.5925 -12299.4212255942
3.189 5.185 -12993.3026995232
3.189 7.7775 -12299.4212255942
3.189 10.37 -12993.3026995232
3.189 12.9625 -12299.4212255943
3.189 15.555 -12993.3026995232
3.189 18.1475 -12299.4212255943
3.189 20.74 -12993.3026995232
3.189 23.3325 -12299.4212255943
3.189 25.925 -12993.3026995232
3.189 28.5175 -12299.4212255943
3.189 31.11 -12993.3026995232
3.189 33.7025 -12299.4212255943
3.189 36.295 -12993.3026995232
3.189 38.8875 -12299.4212255943
3.189 41.48 -12993.3026995232
3.189 44.0725 -12299.4212255943
3.189 46.665 -12993.3026995232
3.189 49.2575 -12299.4212255943
4.7835 0 -12599.8228078529
4.7835 2.5925 -12007.0727300498
4.7835 5.185 -12599.8228078529
4.7835 7.7775 -12007.0727300498
4.7835 10.37 -12599.8228078529
4.7835 12.9625 -12007.0727300498
4.7835 15.555 -12599.8228078529
4.7835 18.1475 -12007.0727300498
4.7835 20.74 -12599.8228078529
4.7835 23.3325 -12007.0727300498
4.7835 25.925 -12599.8228078529
4.7835 28.5175 -12007.0727300498
4.7835 31.11 -12599.8228078529
4.7835 33.7025 -12007.0727300498
4.7835 36.295 -12599.8228078529
4.7835 38.8875 -12007.0727300498
4.7835 41.48 -12599.8228078529
4.7835 44.0725 -12007.0727300498
4.7835 46.665 -12599.8228078529
4.7835 49.2575 -12007.0727300498
6.378 0 -12993.3026995232
6.378 2.5925 -12299.4212255943
6.378 5.185 -12993.3026995232
6.378 7.7775 -12299.4212255942
6.378 10.37 -12993.3026995232
6.378 12.9625 -12299.4212255943
6.378 15.555 -12993.3026995232
6.378 18.1475 -12299.4212255943
6.378 20.74 -12993.3026995232
6.378 23.3325 -12299.4212255943
6.378 25.925 -12993.3026995232
6.378 28.5175 -12299.4212255943
6.378 31.11 -12993.3026995232
6.378 33.7025 -12299.4212255943
6.378 36.295 -12993.3026995232
6.378 38.8875 -12299.4212255943
6.378 41.48 -12993.3026995232
6.378 44.0725 -12299.4212255943
6.378 46.665 -12993.3026995232
6.378 49.2575 -12299.4212255943
7.9725 0 -12599.8228078529
7.9725 2.5925 -12007.0727300498
7.9725 5.185 -12599.8228078528
7.9725 7.7775 -12007.0727300498
7.9725 10.37 -12599.8228078529
7.9725 12.9625 -12007.0727300498
7.9725 15.555 -12599.8228078529
7.9725 18.1475 -12007.0727300498
7.9725 20.74 -12599.8228078529
7.9725 23.3325 -12007.0727300498
7.9725 25.925 -12599.8228078529
7.9725 28.5175 -12007.0727300498
7.9725 31.11 -12599.8228078529
7.9725 33.7025 -12007.0727300498
7.9725 36.295 -12599.8228078529
7.9725 38.8875 -12007.0727300498
7.9725 41.48 -12599.8228078529
7.9725 44.0725 -12007.0727300498
7.9725 46.665 -12599.8228078529
7.9725 49.2575 -12007.0727300498
9.567 0 -12993.3026995232
9.567 2.5925 -12299.4212255942
9.567 5.185 -12993.3026995232
9.567 7.7775 -12299.4212255942
9.567 10.37 -12993.3026995232
9.567 12.9625 -12299.4212255942
9.567 15.555 -12993.3026995232
9.567 18.1475 -12299.4212255943
9.567 20.74 -12993.3026995232
9.567 23.3325 -12299.4212255943
9.567 25.925 -12993.3026995232
9.567 28.5175 -12299.4212255943
9.567 31.11 -12993.3026995232
9.567 33.7025 -12299.4212255943
9.567 36.295 -12993.3026995232
9.567 38.8875 -12299.4212255943
9.567 41.48 -12993.3026995232
9.567 44.0725 -12299.4212255943
9.567 46.665 -12993.3026995232
9.567 49.2575 -12299.4212255942
11.1615 0 -12599.8228078528
11.1615 2.5925 -12007.0727300498
11.1615 5.185 -12599.8228078528
11.1615 7.7775 -12007.0727300498
11.1615 10.37 -12599.8228078529
11.1615 12.9625 -12007.0727300498
11.1615 15.555 -12599.8228078529
11.1615 18.1475 -12007.0727300498
11.1615 20.74 -12599.8228078529
11.1615 23.3325 -12007.0727300498
11.1615 25.925 -12599.8228078529
11.1615 28.5175 -12007.0727300498
11.1615 31.11 -12599.8228078529
11.1615 33.7025 -12007.0727300498
11.1615 36.295 -12599.8228078529
11.1615 38.8875 -12007.0727300498
11.1615 41.48 -12599.8228078529
11.1615 44.0725 -12007.0727300498
11.1615 46.665 -12599.8228078528
11.1615 49.2575 -12007.0727300498
12.756 0 -12993.3026995232
12.756 2.5925 -12299.4212255942
12.756 5.185 -12993.3026995232
12.756 7.7775 -12299.4212255942
12.756 10.37 -12993.3026995232
12.756 12.9625 -12299.4212255942
